qid,intent,product,question,answer
76,accessories,T1 mini,商米T1mini如何外接电子秤,"系统版本支持：在收银机桌面找到“系统更新”，联网将系统升级到最新版本； 
硬件连接要求：T1有专门的RJ11接口通讯口可连接电子秤；支持外接有线连接和蓝牙连接的电子秤。部分有线连接的电子秤是国标的RS232串口，可购买商米RJ11转RS232数据线连接实现物理通讯接通。
电子秤购买：因为不同收银软件商可能会适配特定型号的电子秤，具体请咨询收银软件商应该购买哪个型号的电子秤。 (常见可用的有线电子秤：大华ACS-15AB)"
77,accessories,T1 mini,商米T1miniT1如何加装商米刷卡器MSRRFID读卡器是否支持刷金融银行卡,"安装操作：请先将主屏背面的卡槽盖打开，插上卡槽的连接线，注意红线朝下，上面有两个突出点，刚好对应机器接口上的两个空点，并锁紧配套的螺丝即可。
读卡器只支持普通的磁卡和RFID卡（IC卡），不支持金融银行卡。MSR读卡器支持1-2-3轨磁条卡，符合ISO7810/7811/7813规范。RFID读卡器支持ISO/ICE 14443 TypeA&B卡和M1卡。"
78,accessories,T1 mini,商米T1miniT1如何外接会员卡读写器,"商米目前已经支持四款第三方usb通用读写器，软件开发者可参考商米提供的demo做读卡写卡操作。购买读卡器务必说明需要适配商米的型号。点击查看开发文档
*上海亿矽智能科技有限公司UM002读卡器
*深圳市德卡科技有限公司T10读写器（需支持android版本，电源充电版）
*香港龙杰智能卡有限公司ACR1281U-C1读写器
*香港龙杰智能卡有限公司ACR1281U-K1读写器"
79,accessories,T1 mini,商米T1miniT1是否支持通过HDMI连接电视显示屏,T1不支持HDMI扩展接口。
80,accessories,T1 mini,商米T1mini是否支持外接摄像头使用,"T1的USB 2.0接口支持外接USB摄像头 (符合UVC规格），首先从网上下载安卓的摄像头软件，例如: webcame, Netcamera等，再外接USB摄像头。
注意：需要特定的商米系统版本才能支持！"
81,accessories,T1 mini,商米T1miniT1能否连接USB密码键盘,T1可以连接免驱的USB有线密码键盘。
82,accessories,T1 mini,商米T1miniT1能否连接U盘传输文件,T1支持连接U盘，支持的U盘格式: FAT32:可读可写，如果是其他格式会有限制：NTFS:可读不可写 ;exFAT:不支持；
83,accessories,T1 mini,商米T1miniT1是否支持外接USB接口的3G4G无线上网卡,"可以选择购买免驱动只需USB供电的随身WiFi，例如华为随行WiFi2，这类有电就有4G WiFi热点的设备；
注意外接USB网卡需要安装驱动的型号就不能直接用，因为驱动一般只提供Windows和Mac系统，不支持安卓系统。"
84,accessories,T1 mini,商米T1miniT1是否支持4G全网通SIM卡模块,T1标配机型不支持，需要批量下单定制支持3G模块的机型。建议考虑外接4G无线网卡。
85,accessories,T1 mini,商米T1miniT1是否有内置MIC,T1没有内置MIC麦克风，需要连接蓝牙麦克风或外接麦克风插入音频口使用。
86,function,T1 mini,商米T1miniT1使用USB线连接电脑传输文件如何操作,机器通过USB数据线与电脑连接后，在T1主屏幕顶部往下滑，在菜单中选择“USB选项”，点击“文件传输”即可。
87,function,T1 mini,商米T1mini收银机使用USB数据线连接电脑传输文件无法选择USB连接类型如何处理,"如果机器通过USB数据线与电脑连接后，通知栏没有出现“USB选项”，可点击“设置”->“开发者选项”，点击“选择USB配置”选择“MTP(媒体传输协议)”。
(找不到“开发者选项”？点击“设置”->“关于”，连续点击“版本号”7次即可显示)"
88,function,T1 mini,商米T1miniT1使用哪种规格的热敏纸,T1使用80mm*80mm的热敏纸，纸卷直径最大支持80mm。
89,function,T1 mini,商米T1miniT1可否使用58规格的热敏纸,"商米T1内置打印机仓可容纳80mm*80mm规格的打印纸，如果您需要使用58mm规格的打印纸，您可以购买专用58打印挡板，用以固定58mm打印纸卷；
在“挡板安装位置”示意图的右侧放入58规格打印纸；安装时注意先将挡板对准下边的卡扣，然后上边对齐卡扣，再往里推入卡紧。
然后在更改机器的打印设置，步骤：设置->打印->内置打印管理->打印纸规格，切换成 58mm模式，重新启动该设备后生效；以后就能使用58mm打印纸打印。"
90,function,T1 mini,商米T1miniT1如何拆下58规格打印挡板切换使用80规格打印纸,"如果内置打印机仓在初次安装时放入了容纳58打印挡板，用以固定58mm打印纸卷；如果您需要切换使用80mm规格的打印纸，您可以将58打印挡板的下端拉出，拆卸并存放好；
然后在更改机器的打印设置，步骤：设置->打印->内置打印管理->打印纸规格，切换成 80mm模式，重新启动该设备后生效；以后就能使用80mm打印纸打印。"
91,function,T1 mini,商米T1mini其他设备是否可以把T1当蓝牙打印机来使用,不可以。T1内置打印机是通过商米的底层封装虚拟的连接完成的，只支持设备自己使用。
92,function,T1 mini,商米T1mini如何在APP中通过蓝牙连接自带的打印机APP通过蓝牙调用内置打印机,"1.在桌面上找到""设置""->""蓝牙""->开启蓝牙开关。
2.回到桌面，打开需要打印票据的APP，找到打印设置，点击连接或添加打印机，选择“InnerPrinter” 连接成功后，再打印即可。"
93,function,T1 mini,商米T1mini内置打印机是否支持打印热敏标签不干胶标签,收银机内置的是热敏票据打印机，不支持打印不干胶标签，建议购买专用的标签打印机外接使用。
94,function,T1 mini,商米T1miniT1是否支持黑标打印,"商米 T1 可使用符合规范的黑标打印纸进行打印，要求黑标需要在纸张水平中间位置才能被检纸传感器器检测到。
用户可以在 设置->打印->内置打印管理中对黑标模式和切刀位置进行修改。（T1系统版本需要升级到1.12.6或以上版本。）"
95,function,T1 mini,商米T1mini硬件管家可以检查哪些硬件功能是否正常,"硬件管家支持检测以下项目：
1、硬件管家->本机信息：可查看设备的详细信息及参数；
2、硬件管家->网络状况：可查看/测试本机网络情况、测试信号强度和网络稳定性；
3、硬件管家->打印机：可测试设备的打印及打印头老化测试；
4、硬件管家->显示屏：可设置屏幕亮度并测试显示屏颜色是否正确；
5、硬件管家->触屏：可测试设备触屏灵敏度是否无误。
6、硬件管家->喇叭：可诊断设备的喇叭状态；
7、硬件管家->切刀：可测试打印切刀是否正常；
8、硬件管家->钱箱：可测试钱箱是否正常打开；"
96,malfunction,T1 mini,商米T1mini开不了机,"1.检查收银机背面后盖的电源插口是否连接正常；检查电源适配器与电源线的连接处是否插紧；
2.拔出所有外接设备的数据连接线，重新插拔下收银机后盖电源插头。
3.有条件可以更换电源适配器交叉测试判断是适配器问题还是机器问题。"
97,malfunction,T1 mini,商米T1mini死机怎么办,找到机器背面的电源适配器接口，拔下电源线后重新插上，等待5s后，再短按电源键2秒开启。
98,malfunction,T1 mini,商米T1mini初次开机无法激活,"1. 手机分享热点给T1连接，测试是否网络异常导致无法联网激活；
2. 重新启动，再试。
3. 使用其他商米设备测试打开应用市场是否可以下载应用，如果是伺服器异常，请稍后再试。（或者在设备的“您好”页面右上角空白处连续点击5下跳过激活步骤）"
99,malfunction,T1 mini,商米T1mini系统更新下载升级包失败,点击 设置->应用->点击右上角显示系统进程->找到系统更新->储存空间->清除数据，重启机器，再次下载更新试试。
100,malfunction,T1 mini,商米T1mini连接WiFi提示网络连接失败WiFi连接后不能上网,"1.收银设备能搜索到WiFi网络，一般代表无线网卡硬件正常，大概率属于网络配置问题，尝试重新启动机具，试试是否恢复正常；
2. 如果仍然无法联网，可在收银机桌面点击 设置->硬件管家->测试网络是否通畅，点击“开始测试”查看网络测试结果是否良好，判断是否网络不稳定或网络不通导致的问题；
同时使用其他设备连接同一WiFi网络，如果其他设备能够联网，继续下一步排查；
如果其他设备也不能联网，请检查无线路由器的设置以及联系宽带的服务商排查网络问题；
3. 可能是网络缓存数据有问题，在收银机桌面点击 设置->更多，选择“重置网络设置”；完成后再打开 设置->硬件管家->测试网络是否恢复正常；
4. 可能属于无线路由器或宽带网络问题，尝试切换其他无线网络或手机开热点让收银机连接，测试是否WiFi的网络问题。如果能够连接其他WiFi热点代表设备硬件没问题，请继续下一步排查；
5.可能是周围的WiFi信号互有干扰，建议重启路由器，如果问题仍然存在，可能需要修改路由器的无线配置（例如WiFi信道选择1-11，WiFi加密方式改WPA2,WPA等试试)。"
101,malfunction,T1 mini,商米T1mini插入网线连接后无法连接网络,"请尝试以下方法：
1. 检查网线连接后，网线状态灯是否正常闪烁；如果状态灯不亮，需要检查是否网络异常，有条件可以更换网线测试；确认网线连接其他设备可以正常使用。
2. 检查屏幕右上角是否显示有线网已成功连接的logo。如果网线状态灯亮，但是不显示网络已连接的Logo，可检查是否局域网内的DHCP服务是否启用；
如果使用固定IP联网方式，需要在设置->有线网->静态->设置静态IP的方式连接网络。注意：静态IP地址、网络前缀长度、DNS和网关的数据要咨询网络管理员获取。
3. 如果屏幕右上角显示有线网已成功连接的logo，但是某个APP不能联网，那么属于该APP的问题；如果网络检查无问题，所有应用均无法联网，尝试以下步骤：设置->备份和重置，选择“重置网络设置”，关机后重新开机，开机后不要打开任何APP，只是打开硬件管家，测试网络是否通畅。
4. 如果是连网不稳定，可以点击设置->硬件管家->测试网络的信号强度及网络稳定性、如果网络存在连接不稳定或信号弱，则需要检查路由器或者联系当地运营商核实网络状况。
"
102,malfunction,T1 mini,商米T1mini为什么T1网络测速比电脑网络测试要慢,T1内置100兆网卡，而目前电脑大多内置1000兆网卡，所以网络测试对比可能会有差异。
103,malfunction,T1 mini,商米T1miniT1外接扫码枪不能使用不能扫码,"收银机支持免驱动、USB HID 协议有线连接的扫码设备（相当于标准的键盘输入设备），支持即插即用。
无线扫码枪一般支持Windows设备为主，安卓系统大多不兼容。
外接USB接口的有线扫码枪有问题，按照以下步骤排查：
1、检查扫码枪是否已通电；连接时有蜂鸣声提示，按压扫码有红光。
如果扫描枪未通电，按照以下步骤排查：
1)检查收银机物理接口连接了哪些设备，拔出所有外接的外设；
2)更换其他USB接口连接重新连接，再试；
3)将扫码枪换到其他设备上测试是否可用，如果在其他设备上扫码枪可用，则将收银机关机重新启动再连接扫码枪试试是否可用。
2、测试扫描枪是否能捕获条码的数据；在桌面打开计算器app，使用扫码枪分别扫描商品条码和手机付款码，查看是否能获取条码数据。
如果扫商品的条码可以获取条码数据，代表硬件连接正常可使用，请检查收银软件的设置是否问题。
如果扫商品的条码不能获取条码数据，按照以下步骤排查：
1) USB接口多连接几个设备，例如USB扫码枪、鼠标、键盘；然后在收银机桌面打开【设置】->【关于设备】->连续点击6下固件版本号->输入密码“1234” ->选择CIT Preload->USB，查看“检测到的外置USB设备有”多少个；如果能检测到USB设备，代表USB接口工作正常。如果检测USB设备为0个，可能USB接口有故障。
2) 如果USB接口工作正常，只是扫码枪不能扫描，请注意商品条形码是否有欠缺和破损；扫码枪是否兼容商品的条形码类型；还有扫码枪是否支持扫描屏幕（部分扫码枪只能扫描纸质上的条码）；"
104,malfunction,T1 mini,商米T1mini用扫码枪或扫码盒扫描条码二维码识别数值不完整缺少部分数值,可能是扫码枪扫码识别的数值经过输入法输出，被输入法截取了部分数值，您可以在收银机桌面点击 设置->扫码与键盘，找到“已接入的键盘或其他设备”选择输出方式为“扫码设备”->点击“保存”，设置完成后扫码枪扫码，识别内容不会经过输入法直接输出到UI界面。
